ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20200814,197.7,200.45,195.99,200.37,195.99,4.38,2.2348,119700.02,2373752.13,0.02210202
300750.SZ,20200817,200,200.37,194.2,196.62,200.37,-3.75,-1.8715,197074.1,3866925.434,-0.018892725
300750.SZ,20200818,199.6,205,195.88,199.28,196.62,2.66,1.3529,221223.98,4415130.04,0.013437939
300750.SZ,20200819,197.8,197.8,190,190.19,199.28,-9.09,-4.5614,187146.8,3610137.183,-0.046687298
300750.SZ,20200820,187,191,185,188.42,190.19,-1.77,-0.9306,130201.38,2444311.254,-0.009350059
300750.SZ,20200821,191.36,193.94,190,192.23,188.42,3.81,2.0221,146552.72,2815939.72,0.020019058
300750.SZ,20200824,194.2,208,192.24,202.01,192.23,9.78,5.0877,258069.84,5156579.057,0.049624629
300750.SZ,20200825,202.01,206,198.96,199.92,202.01,-2.09,-1.0346,145490.72,2935647.68,-0.010399915
300750.SZ,20200826,199.01,199.98,192.94,194.4,199.92,-5.52,-2.7611,152402.58,2985718.224,-0.027999395
300750.SZ,20200827,202.5,208.5,199,204.95,194.4,10.55,5.427,283977.72,5799779.573,0.052848155
300750.SZ,20200828,206.32,209.5,203.68,208.3,204.95,3.35,1.6345,169671.22,3510925.235,0.016213301
300750.SZ,20200831,209.66,210.76,205.01,206.35,208.3,-1.95,-0.9361,135144.81,2797718.777,-0.009405592
300750.SZ,20200901,206.5,215,205.01,214.25,206.35,7.9,3.8284,197161.89,4175644.975,0.037569801
300750.SZ,20200902,213.36,214.13,208,211.31,214.25,-2.94,-1.3722,146086.11,3084140.607,-0.013817308
300750.SZ,20200903,210,211,205.89,209.9,211.31,-1.41,-0.6673,124528.89,2600401.902,-0.006695023
300750.SZ,20200904,202.22,205.66,200.58,204.26,209.9,-5.64,-2.687,147736.63,2993649.066,-0.027237535
300750.SZ,20200907,202.9,204.85,180,186.4,204.26,-17.86,-8.7438,447896.99,8540774.209,-0.09149879
300750.SZ,20200908,185,188,179.51,186.9,186.4,0.5,0.2682,220732.72,4063178.479,0.002678812
300750.SZ,20200909,179,187.5,177.99,184.32,186.9,-2.58,-1.3804,189343.68,3444737.254,-0.013900337
300750.SZ,20200910,185,189.5,184.5,184.96,184.32,0.64,0.3472,148264.21,2775741.169,0.003466208
300750.SZ,20200911,186,189.3,183.35,187.3,184.96,2.34,1.2651,117650.01,2188559.588,0.012572024
300750.SZ,20200914,190.5,194.98,190,192.78,187.3,5.48,2.9258,142896.37,2755344.741,0.028838033
300750.SZ,20200915,195.5,197,192.82,194.7,192.78,1.92,0.996,117036.65,2283119.874,0.00991027
300750.SZ,20200916,196.79,196.9,190.5,192.26,194.7,-2.44,-1.2532,118378.64,2289962.853,-0.01261129
300750.SZ,20200917,192.24,201.95,191,198.4,192.26,6.14,3.1936,181307.71,3567477.518,0.031436572
300750.SZ,20200918,198.91,200,195.23,198.03,198.4,-0.37,-0.1865,105486.91,2089777.817,-0.00186666
300750.SZ,20200921,201.9,208,196.86,197.93,198.03,-0.1,-0.0505,160683.19,3253235.561,-0.000505102
300750.SZ,20200922,200,204.2,197.93,200.5,197.93,2.57,1.2984,123393.78,2486477.01,0.012900814
300750.SZ,20200923,199.6,199.82,191.1,197,200.5,-3.5,-1.7456,157194.29,3068479.262,-0.017610518
300750.SZ,20200924,193.65,195.8,190.11,190.82,197,-6.18,-3.1371,106680.28,2053506.543,-0.031873153
300750.SZ,20200925,193.6,194.7,190.59,191.5,190.82,0.68,0.3564,68012.08,1308079.227,0.003557233
300750.SZ,20200928,193.45,196.95,191.81,192.91,191.5,1.41,0.7363,82331.95,1600223.953,0.00733595
300750.SZ,20200929,195.49,206.25,195.43,204.99,192.91,12.08,6.262,202435.51,4072131.575,0.060737439
300750.SZ,20200930,205.3,211.01,203.8,209.2,204.99,4.21,2.0538,159908.37,3336273.48,0.020329535
